"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"MRPS30-DT"	0	2.69252283825679	0.582	0.163	0	"Cancer cells"	"MRPS30-DT"
"ESR1"	0	2.67388707162001	0.973	0.592	0	"Cancer cells"	"ESR1"
"BMPR1B"	0	2.55934419751333	0.729	0.341	0	"Cancer cells"	"BMPR1B"
"TRPS1"	0	2.22108324994345	0.981	0.861	0	"Cancer cells"	"TRPS1"
"GATA3"	0	1.95008174273994	0.891	0.303	0	"Cancer cells"	"GATA3"
"MLPH"	0	1.75189944322426	0.848	0.253	0	"Cancer cells"	"MLPH"
"MALAT1"	0	1.74518736279281	0.986	0.988	0	"Cancer cells"	"MALAT1"
"FOXN3"	0	-1.56794004972638	0.287	0.786	0	"Cancer cells"	"FOXN3"
"TCF4"	0	-1.94029329318155	0.097	0.619	0	"Cancer cells"	"TCF4"
"ZEB1"	0	-2.01179686186508	0.09	0.574	0	"Cancer cells"	"ZEB1"
"CHST11"	0	-2.02113896038443	0.083	0.617	0	"Cancer cells"	"CHST11"
"MAML2"	0	-2.18417894858267	0.225	0.844	0	"Cancer cells"	"MAML2"
"BNC2"	0	-2.40790898427364	0.093	0.551	0	"Cancer cells"	"BNC2"
"TSHZ2"	0	-2.4217396700118	0.144	0.569	0	"Cancer cells"	"TSHZ2"
"MIR99AHG"	0	-2.44392905475932	0.095	0.553	0	"Cancer cells"	"MIR99AHG"
"CALD1"	0	-2.46887602607044	0.16	0.613	0	"Cancer cells"	"CALD1"
"CELF2"	5.19683013818198e-289	-1.63486666663825	0.062	0.536	1.23377944310578e-284	"Cancer cells"	"CELF2"
"DRAIC"	3.30788764685757e-288	1.67606578077054	0.613	0.105	7.85325606240456e-284	"Cancer cells"	"DRAIC"
"THSD4"	8.98531873032735e-284	2.01663705762637	0.947	0.457	2.13320451976702e-279	"Cancer cells"	"THSD4"
"PTPRT"	7.69392957682876e-274	2.71382446101988	0.704	0.223	1.82661582083492e-269	"Cancer cells"	"PTPRT"
"DACH1"	1.60994424242953e-273	2.025916366409	0.862	0.353	3.82216862595195e-269	"Cancer cells"	"DACH1"
"XBP1"	4.43900953644271e-266	1.34110148227682	0.799	0.334	1.05386525404686e-261	"Cancer cells"	"XBP1"
"ANKS1B"	1.79264035080477e-259	1.68754640605645	0.889	0.362	4.2559074568456e-255	"Cancer cells"	"ANKS1B"
"DNAJC1"	2.96200526761271e-258	1.66782624365449	0.808	0.573	7.03209670583933e-254	"Cancer cells"	"DNAJC1"
"CAPN8"	2.39425910488233e-254	1.32059804229803	0.572	0.113	5.68421054090113e-250	"Cancer cells"	"CAPN8"
"FMNL2"	8.47346319725081e-252	-1.67959486982227	0.147	0.553	2.01168489765931e-247	"Cancer cells"	"FMNL2"
"CA12"	3.89090940262765e-250	1.4114776625164	0.719	0.208	9.23740801277831e-246	"Cancer cells"	"CA12"
"TTC6"	8.73071487893164e-245	1.78129373729629	0.911	0.266	2.07275901940716e-240	"Cancer cells"	"TTC6"
"KIAA1324"	3.65959560792982e-232	1.36349350019361	0.78	0.246	8.68824593278618e-228	"Cancer cells"	"KIAA1324"
"GRHL2"	1.33094305234786e-230	1.30905253161032	0.767	0.215	3.15979190057906e-226	"Cancer cells"	"GRHL2"
"COL1A2"	7.57833341311743e-230	-2.40968353739322	0.403	0.55	1.79917213560821e-225	"Cancer cells"	"COL1A2"
"TGFBR2"	1.47806681376391e-227	-1.25552381269171	0.07	0.516	3.50907842255689e-223	"Cancer cells"	"TGFBR2"
"MAST4"	2.8937325837212e-223	1.52912636901457	0.864	0.527	6.8700105270125e-219	"Cancer cells"	"MAST4"
"GALNT6"	8.61659484818592e-223	1.31218280015252	0.657	0.189	2.04566578290782e-218	"Cancer cells"	"GALNT6"
"PATJ"	1.14955249769934e-222	1.57795568229158	0.944	0.522	2.729152584788e-218	"Cancer cells"	"PATJ"
"ZNF552"	1.6624675457579e-222	1.14060240039226	0.585	0.161	3.94686420038382e-218	"Cancer cells"	"ZNF552"
"GREB1L"	2.40364808708076e-219	1.65875121665694	0.59	0.173	5.70650092353842e-215	"Cancer cells"	"GREB1L"
"UBE2E2"	2.2293199777898e-213	-1.33957549862278	0.314	0.723	5.29262855927076e-209	"Cancer cells"	"UBE2E2"
"KRT19"	1.71234634920797e-211	1.48200366453612	0.748	0.325	4.06528146765464e-207	"Cancer cells"	"KRT19"
"MSI2"	3.78254164473224e-210	1.34260247047925	0.894	0.524	8.98013211875881e-206	"Cancer cells"	"MSI2"
"PBX1"	1.41410661785569e-209	1.51620629488976	0.944	0.702	3.35723052145119e-205	"Cancer cells"	"PBX1"
"WIPF1"	7.01471383566205e-207	-1.1426632719276	0.051	0.517	1.66536321172453e-202	"Cancer cells"	"WIPF1"
"CRNDE"	4.32330288177168e-206	1.13783772385497	0.625	0.223	1.02639533716142e-201	"Cancer cells"	"CRNDE"
"ARNT2"	4.96349087707609e-205	1.26424249294446	0.514	0.153	1.17838236912663e-200	"Cancer cells"	"ARNT2"
"HIVEP3"	8.23013377143223e-204	1.30807793202377	0.809	0.465	1.95391605867573e-199	"Cancer cells"	"HIVEP3"
"SYNE1"	1.06917780855729e-201	-1.06687249681734	0.137	0.548	2.53833503529585e-197	"Cancer cells"	"SYNE1"
"DNAH14"	3.17580756297841e-199	1.20030108524614	0.771	0.376	7.53968473526705e-195	"Cancer cells"	"DNAH14"
"CELSR1"	1.3592486315838e-197	1.12822359387069	0.693	0.237	3.22699217624311e-193	"Cancer cells"	"CELSR1"
"PVT1"	1.65528211710865e-196	1.23536981648117	0.842	0.508	3.92980527422766e-192	"Cancer cells"	"PVT1"
"FOXO1"	1.27858136542401e-195	-1.36107697734601	0.188	0.597	3.03548001965314e-191	"Cancer cells"	"FOXO1"
"DOCK4"	1.29603253817553e-193	-1.63450010361322	0.229	0.563	3.07691084888252e-189	"Cancer cells"	"DOCK4"
"EPB41L2"	2.0451429373086e-189	-1.12862619241049	0.167	0.519	4.85537384746435e-185	"Cancer cells"	"EPB41L2"
"SYTL2"	3.21642026062246e-189	1.37842684357585	0.73	0.296	7.63610334074379e-185	"Cancer cells"	"SYTL2"
"LMX1B"	2.8150036653637e-188	0.8622548840759	0.541	0.119	6.68310020193995e-184	"Cancer cells"	"LMX1B"
"FN1"	1.03815634826635e-187	-2.1086518224637	0.416	0.511	2.46468698641914e-183	"Cancer cells"	"FN1"
"KDM4B"	4.91211698014344e-185	1.14461290791239	0.798	0.509	1.16618569225585e-180	"Cancer cells"	"KDM4B"
"COL3A1"	1.42946096600971e-181	-2.12223507168121	0.356	0.524	3.39368327940366e-177	"Cancer cells"	"COL3A1"
"CASZ1"	5.66663363531251e-181	1.0801741670408	0.748	0.202	1.34531549135954e-176	"Cancer cells"	"CASZ1"
"TBC1D9"	8.69843970430295e-176	1.31215607663505	0.855	0.471	2.06509657019856e-171	"Cancer cells"	"TBC1D9"
"GALNT7"	1.76324181491695e-172	1.17953622333553	0.766	0.401	4.18611239279433e-168	"Cancer cells"	"GALNT7"
"NPNT"	3.88228913742947e-172	1.100145813465	0.556	0.137	9.21694264117131e-168	"Cancer cells"	"NPNT"
"EVL"	7.32915749454533e-172	1.31254706448808	0.814	0.634	1.74001528078001e-167	"Cancer cells"	"EVL"
"PRLR"	3.07080645103199e-165	1.34150753807516	0.796	0.259	7.29040159539505e-161	"Cancer cells"	"PRLR"
"FRMD4A"	1.40740818930847e-164	-1.25538482640851	0.325	0.554	3.34132778223723e-160	"Cancer cells"	"FRMD4A"
"PARD6B"	4.8253619790467e-164	1.01919448585476	0.519	0.115	1.14558918744548e-159	"Cancer cells"	"PARD6B"
"COL1A1"	4.77228831468539e-163	-2.21020098689974	0.474	0.556	1.13298896878946e-158	"Cancer cells"	"COL1A1"
"REPS2"	5.17723270276598e-163	1.12545508717253	0.516	0.161	1.22912681596367e-158	"Cancer cells"	"REPS2"
"SCUBE2"	1.31791784678633e-162	1.41198331903369	0.5	0.223	3.12886876005544e-158	"Cancer cells"	"SCUBE2"
"TACC1"	1.93035507418389e-162	-1.09771573407943	0.108	0.504	4.58285598161998e-158	"Cancer cells"	"TACC1"
"KAZN"	1.63414521694153e-161	1.5263779701405	0.833	0.478	3.87962415954088e-157	"Cancer cells"	"KAZN"
"ARFGEF3"	2.95018083689453e-160	0.9742840640411	0.65	0.196	7.00402432487129e-156	"Cancer cells"	"ARFGEF3"
"ESRP1"	1.83864316867703e-159	0.872559467329582	0.535	0.127	4.36512274675613e-155	"Cancer cells"	"ESRP1"
