"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"ANKRD30A"	0	4.09484663742796	0.855	0.412	0	"Epithelial_cells"	"ANKRD30A"
"ESR1"	0	3.6605900914279	0.946	0.545	0	"Epithelial_cells"	"ESR1"
"ERBB4"	0	3.5617568213747	0.909	0.425	0	"Epithelial_cells"	"ERBB4"
"TRPS1"	0	3.35978178030448	0.979	0.831	0	"Epithelial_cells"	"TRPS1"
"AFF3"	0	3.26924512713226	0.88	0.439	0	"Epithelial_cells"	"AFF3"
"PTPRT"	0	3.17207137540526	0.671	0.162	0	"Epithelial_cells"	"PTPRT"
"THSD4"	0	3.03155303712576	0.929	0.359	0	"Epithelial_cells"	"THSD4"
"TTC6"	0	2.93122731704531	0.878	0.157	0	"Epithelial_cells"	"TTC6"
"MRPS30-DT"	0	2.66004646418264	0.533	0.165	0	"Epithelial_cells"	"MRPS30-DT"
"DACH1"	0	2.6326339681654	0.832	0.277	0	"Epithelial_cells"	"DACH1"
"BMPR1B"	0	2.62928229655991	0.683	0.343	0	"Epithelial_cells"	"BMPR1B"
"PATJ"	0	2.53801730852183	0.943	0.399	0	"Epithelial_cells"	"PATJ"
"ANKS1B"	0	2.47734161795883	0.872	0.247	0	"Epithelial_cells"	"ANKS1B"
"GATA3"	0	2.42156325858783	0.86	0.208	0	"Epithelial_cells"	"GATA3"
"NEBL"	0	2.19956793570642	0.852	0.149	0	"Epithelial_cells"	"NEBL"
"SHANK2"	0	2.18160492978509	0.795	0.098	0	"Epithelial_cells"	"SHANK2"
"PRLR"	0	2.14646919317105	0.778	0.145	0	"Epithelial_cells"	"PRLR"
"MLPH"	0	2.10899850236849	0.818	0.152	0	"Epithelial_cells"	"MLPH"
"NTN4"	0	1.96169811651257	0.684	0.207	0	"Epithelial_cells"	"NTN4"
"LINC00504"	0	1.94038771360556	0.738	0.084	0	"Epithelial_cells"	"LINC00504"
"NEDD4L"	0	1.90437810437351	0.791	0.267	0	"Epithelial_cells"	"NEDD4L"
"KIAA1324"	0	1.86781603552546	0.761	0.136	0	"Epithelial_cells"	"KIAA1324"
"SHROOM3"	0	1.8084136736921	0.763	0.119	0	"Epithelial_cells"	"SHROOM3"
"TBC1D9"	0	1.80148430562545	0.839	0.396	0	"Epithelial_cells"	"TBC1D9"
"GRHL2"	0	1.78028085457027	0.757	0.074	0	"Epithelial_cells"	"GRHL2"
"MSI2"	0	1.74833281120024	0.888	0.429	0	"Epithelial_cells"	"MSI2"
"MALAT1"	0	1.74592956962008	0.985	0.991	0	"Epithelial_cells"	"MALAT1"
"CASZ1"	0	1.65656694347619	0.734	0.074	0	"Epithelial_cells"	"CASZ1"
"CA12"	0	1.6223106830961	0.685	0.143	0	"Epithelial_cells"	"CA12"
"KRT19"	0	1.61814248657228	0.717	0.277	0	"Epithelial_cells"	"KRT19"
"MAGI3"	0	1.60892392635364	0.812	0.424	0	"Epithelial_cells"	"MAGI3"
"XBP1"	0	1.58694003366124	0.769	0.273	0	"Epithelial_cells"	"XBP1"
"AZGP1"	0	1.54477221348948	0.704	0.223	0	"Epithelial_cells"	"AZGP1"
"SAMD12"	0	1.51502555192613	0.721	0.157	0	"Epithelial_cells"	"SAMD12"
"KDM4B"	0	1.41575138434073	0.781	0.465	0	"Epithelial_cells"	"KDM4B"
"FOXN3"	0	-1.63692917341136	0.32	0.851	0	"Epithelial_cells"	"FOXN3"
"CELF2"	0	-1.7920986325841	0.077	0.638	0	"Epithelial_cells"	"CELF2"
"ZFPM2"	0	-1.99532519299987	0.123	0.594	0	"Epithelial_cells"	"ZFPM2"
"GAS7"	0	-2.01156735571354	0.053	0.589	0	"Epithelial_cells"	"GAS7"
"DLC1"	0	-2.12311761237132	0.092	0.574	0	"Epithelial_cells"	"DLC1"
"ZEB2"	0	-2.14962966899082	0.052	0.634	0	"Epithelial_cells"	"ZEB2"
"VCAN"	0	-2.20346325144289	0.113	0.509	0	"Epithelial_cells"	"VCAN"
