Cell	Percent.Mitochondria	hpca	nCount_RNA	nFeature_RNA	Lineage
Cell_1	6.2	Macrophage	16	4	Immune_cells
Cell_2	0	Neutrophils	6	2	Immune_cells
Cell_3	8.3	Neutrophils	12	5	Immune_cells
Cell_4	0	Neutrophils	15	4	Immune_cells
Cell_5	0	Neutrophils	11	3	Immune_cells
Cell_6	0	Neutrophils	8	2	Immune_cells
Cell_7	0	Osteoblasts	13	4	Stromal_cells
Cell_8	0	Neutrophils	8	3	Immune_cells
Cell_9	0	Neutrophils	14	3	Immune_cells
Cell_10	0	Neutrophils	10	2	Immune_cells
Cell_11	0	Neutrophils	13	5	Immune_cells
Cell_12	0	Neutrophils	10	3	Immune_cells
Cell_13	0	Neutrophils	2	2	Immune_cells
Cell_14	0	Neutrophils	7	1	Immune_cells
Cell_15	0	NK_cell	9	3	Immune_cells
Cell_16	0	Osteoblasts	2	2	Stromal_cells
Cell_17	0	Neutrophils	10	3	Immune_cells
Cell_18	0	Neutrophils	11	3	Immune_cells
Cell_19	0	Neutrophils	12	4	Immune_cells
Cell_20	0	Macrophage	15	5	Immune_cells
Cell_21	0	Neutrophils	7	3	Immune_cells
Cell_22	0	Neutrophils	10	4	Immune_cells
Cell_23	0	T_cells	18	18	Immune_cells
Cell_24	0	Neutrophils	12	4	Immune_cells
Cell_25	0	Osteoblasts	9	5	Stromal_cells
Cell_26	0	Neutrophils	10	5	Immune_cells
Cell_27	0	Neutrophils	13	4	Immune_cells
Cell_28	0	Neutrophils	13	13	Immune_cells
Cell_29	0	Neutrophils	17	4	Immune_cells
Cell_30	0	Neutrophils	9	3	Immune_cells
Cell_31	0	Macrophage	6	3	Immune_cells
Cell_32	0	Neutrophils	9	3	Immune_cells
Cell_33	0	Osteoblasts	7	3	Stromal_cells
Cell_34	0	Neutrophils	11	6	Immune_cells
Cell_35	0	Neurons	10	5	
Cell_36	0	Neutrophils	3	2	Immune_cells
Cell_37	0	Neutrophils	8	3	Immune_cells
Cell_38	0	Neutrophils	10	3	Immune_cells
Cell_39	0	Neutrophils	10	5	Immune_cells
Cell_40	0	Keratinocytes	7	5	
Cell_41	0	Neutrophils	18	4	Immune_cells
Cell_42	0	Neutrophils	19	5	Immune_cells
Cell_43	0	DC	3	3	
Cell_44	0	Neutrophils	9	4	Immune_cells
Cell_45	0	Neutrophils	15	9	Immune_cells
Cell_46	0	GMP	2	2	
Cell_47	1.8	Neutrophils	56	16	Immune_cells
Cell_48	0	Neutrophils	14	5	Immune_cells
Cell_49	0	Neutrophils	14	4	Immune_cells
Cell_50	0	Neutrophils	13	3	Immune_cells
Cell_51	0	Neutrophils	6	4	Immune_cells
Cell_52	0	Neutrophils	11	4	Immune_cells
Cell_53	0	Keratinocytes	10	4	
Cell_54	0	Neutrophils	5	4	Immune_cells
